areaCode,areaName,areaType,date,age,rate,value
E12000007,London,region,2021-09-12,0_to_4,3977.8,11551
E12000007,London,region,2021-09-12,50_to_54,12112.8,34808
E12000007,London,region,2021-09-12,25_to_29,18452.8,69364
E12000007,London,region,2021-09-12,35_to_39,13447.0,50254
E12000007,London,region,2021-09-12,5_to_9,5132.5,15169
E12000007,London,region,2021-09-12,30_to_34,15042.2,59878
E12000007,London,region,2021-09-12,65_to_69,7236.6,12091
E12000007,London,region,2021-09-12,80_to_84,6907.5,5895
E12000007,London,region,2021-09-12,40_to_44,13484.3,44365
E12000007,London,region,2021-09-11,35_to_39,13428.0,50183
E12000007,London,region,2021-09-11,0_to_4,3968.9,11525
E12000007,London,region,2021-09-11,90+,12251.0,4680
E12000007,London,region,2021-09-11,5_to_9,5105.1,15088
E12000007,London,region,2021-09-11,15_to_19,15864.1,36428
E12000007,London,region,2021-09-11,70_to_74,5871.9,8820
E12000007,London,region,2021-09-11,85_to_89,8880.2,4951
E12000007,London,region,2021-09-11,80_to_84,6901.6,5890
E12000007,London,region,2021-09-11,50_to_54,12098.6,34767
E12000007,London,region,2021-09-11,40_to_44,13449.6,44251
E12000007,London,region,2021-09-11,55_to_59,10959.4,28459
E12000007,London,region,2021-09-11,60_to_64,9431.6,19584
E12000007,London,region,2021-09-11,45_to_49,12752.8,37658
E12000007,London,region,2021-09-11,30_to_34,15020.9,59793
E12000007,London,region,2021-09-11,65_to_69,7224.6,12071
E12000007,London,region,2021-09-11,20_to_24,21044.0,57350
E12000007,London,region,2021-09-11,75_to_79,6063.9,6593
E12000007,London,region,2021-09-11,25_to_29,18432.3,69287
E12000007,London,region,2021-09-11,10_to_14,9513.0,25499
E12000007,London,region,2021-09-10,10_to_14,9465.2,25371
E12000007,London,region,2021-09-10,60_to_64,9410.4,19540
E12000007,London,region,2021-09-10,65_to_69,7209.1,12045
E12000007,London,region,2021-09-10,30_to_34,14993.7,59685
E12000007,London,region,2021-09-10,70_to_74,5863.9,8808
E12000007,London,region,2021-09-10,50_to_54,12074.2,34697
E12000007,London,region,2021-09-10,35_to_39,13402.1,50086
E12000007,London,region,2021-09-10,45_to_49,12726.0,37579
E12000007,London,region,2021-09-10,0_to_4,3955.8,11487
E12000007,London,region,2021-09-10,55_to_59,10943.6,28418
E12000007,London,region,2021-09-10,85_to_89,8862.3,4941
E12000007,London,region,2021-09-10,20_to_24,21016.1,57274
E12000007,London,region,2021-09-10,90+,12245.8,4678
E12000007,London,region,2021-09-10,40_to_44,13415.3,44138
E12000007,London,region,2021-09-10,80_to_84,6894.6,5884
E12000007,London,region,2021-09-10,25_to_29,18407.1,69192
E12000007,London,region,2021-09-10,75_to_79,6055.6,6584
E12000007,London,region,2021-09-10,15_to_19,15819.3,36325
E12000007,London,region,2021-09-10,5_to_9,5068.9,14981
E12000007,London,region,2021-09-09,65_to_69,7192.9,12018
E12000007,London,region,2021-09-09,30_to_34,14966.1,59575
E12000007,London,region,2021-09-09,35_to_39,13374.0,49981
E12000007,London,region,2021-09-09,15_to_19,15773.5,36220
E12000007,London,region,2021-09-09,0_to_4,3947.2,11462
E12000007,London,region,2021-09-09,50_to_54,12043.2,34608
E12000007,London,region,2021-09-09,80_to_84,6884.1,5875
E12000007,London,region,2021-09-09,85_to_89,8844.4,4931
E12000007,London,region,2021-09-09,20_to_24,20983.5,57185
